topic_id,cluster,item_count,keywords
0,1,43,"detective, murder, case, police, cases"
1,4,41,"earth, world, alien, love, human"
2,5,34,"love, father, family, daughter, relationship"
3,0,32,"marriage, love, husband, meets, affair"
4,1,32,"medical, artem, surgeon, doctor, siri"
5,0,29,"eun, friend, self, li, soo"
6,4,29,"vampire, vampires, young, half, min"
7,6,26,"spy, 1995, ador, citadel, tensions"
8,7,22,"telenovela, mexican, la, televisa, mexican telenovela"
9,3,22,"school, students, elite, university, student"
10,1,22,"drug, difficult, kovalev, soccer, gang"
11,1,18,"secrets, mother, family, lucia, deadly"
12,2,15,"british, war, russian, king, agent"
13,1,15,"convicted, madeline, case, murder, prison"
14,0,15,"friends, navigate, friendship, stan, school"
