imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt0772137,The Game,-1,25.24941830381521,-4.657951,9.043989,-1,
tt0435576,Point Pleasant,-1,23.54428991345113,-6.686424,12.0735855,-1,
tt0959086,Flash Gordon,1,20.42275476148293,-0.86937326,10.475117,4,"earth, world, alien, love, human"
tt0880557,Bionic Woman,-1,21.863317737750187,-1.0567212,10.378664,-1,
tt1032838,El Pantera,8,13.815110103857666,-7.2432113,9.612958,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt0772139,Masters of Science Fiction,-1,21.511288398211565,-1.3139515,11.385826,-1,
tt0481452,Nightmares & Dreamscapes: From the Stories of Stephen King,-1,25.106072561027915,-1.5685607,11.64518,-1,
tt0841921,Zorro: La espada y la rosa,2,25.257602707441222,-6.765093,9.394911,5,"love, father, family, daughter, relationship"
tt1244387,Without Breasts There Is No Paradise,-1,23.87880212972141,-3.753902,12.8846445,-1,
tt1287391,Doña Bárbara,-1,24.68921267012472,-6.829035,9.613322,-1,
tt1059455,The Legend of Bruce Lee,7,22.982675847969265,-3.3085713,13.06942,6,"spy, 1995, ador, citadel, tensions"
tt1118526,Galileo,0,21.309853208787068,-5.9776435,13.118476,1,"detective, murder, case, police, cases"
tt1275297,En nombre del amor,8,24.185796549196887,-7.3935337,8.963834,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt0403795,Revelations,-1,19.298439236888697,-1.1474319,11.255513,-1,
tt0403759,Empire,-1,19.04777188322957,-4.070392,11.9308815,-1,
tt0960152,Acorralada,8,19.42886745236068,-7.17293,9.233974,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt0758789,Tsunami: The Aftermath,-1,22.01233138402923,-0.88506866,11.305657,-1,
tt1220859,Storm Over Paradise,8,10.72326609453037,-7.1109076,9.023891,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt1596029,El Clon,3,12.964927954726182,-5.203992,9.798002,0,"marriage, love, husband, meets, affair"
tt0391677,Piel de otoño,8,22.22795220764367,-7.275302,9.061395,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt1247637,Above Suspicion,-1,22.000146820427112,-6.2347236,12.894324,-1,
tt1445556,Burden of Guilt,8,11.463275602278882,-7.09674,9.175931,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt0424600,The Andromeda Strain,1,17.734955873517457,-0.54494953,10.832563,4,"earth, world, alien, love, human"
tt0415407,Colditz,12,25.437597352297864,-3.577938,12.259357,2,"british, war, russian, king, agent"
tt1192302,La rosa de Guadalupe,2,11.378287921852287,-5.890466,8.97836,5,"love, father, family, daughter, relationship"
tt1527368,El Capo,-1,25.18916933395757,-7.0710835,10.216895,-1,
tt1043714,The Prisoner,13,20.89759927271376,-4.8633227,13.031606,1,"convicted, madeline, case, murder, prison"
tt1068899,Capadocia,-1,24.901625572726505,-7.0598745,10.152425,-1,
tt1227637,Impact,1,19.45660145684805,-0.63049644,11.216418,4,"earth, world, alien, love, human"
tt0873992,Dragon Sakura,9,15.63281447544622,-3.6229715,9.761112,3,"school, students, elite, university, student"
tt1441404,Al Fondo Hay Sitio,8,21.467368415445403,-6.7471976,8.961418,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt1657081,Law & Order: LA,0,20.430598620087764,-5.1313224,13.203289,1,"detective, murder, case, police, cases"
tt1593823,The Cape,-1,25.06360914602604,-7.0764675,10.546955,-1,
tt1333050,Persons Unknown,-1,23.34476569699618,-6.1445484,11.630068,-1,
tt2227061,Corazon Valiente,2,17.75255144405951,-5.717043,8.601779,5,"love, father, family, daughter, relationship"
tt1807106,Aurora,-1,10.751958785130206,-6.572613,12.2001095,-1,
tt1755893,Skins,14,13.748256173833964,-4.2879233,9.237002,0,"friends, navigate, friendship, stan, school"
tt1697793,Outcasts,1,20.84447919987609,-0.7410776,10.43855,4,"earth, world, alien, love, human"
tt1772752,A.N.T. Farm,14,18.926507621833043,-4.0472527,8.981524,0,"friends, navigate, friendship, stan, school"
tt1713938,XIII: The Series,12,16.817219860058717,-3.272231,12.851853,2,"british, war, russian, king, agent"
tt0459721,La tormenta,8,22.835217466528157,-6.8672624,8.981135,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt1822448,Bedlam,4,22.45798652238832,-6.295677,11.361492,1,"medical, artem, surgeon, doctor, siri"
tt1846055,Eva Luna,8,22.70775664497472,-6.8596506,8.950782,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt1697033,True Justice,7,16.25745441689432,-3.7709715,13.6418495,6,"spy, 1995, ador, citadel, tensions"
tt1504261,The Sinking of the Laconia,12,25.66132242780368,-3.4471433,11.878931,2,"british, war, russian, king, agent"
tt1869152,Titanic,3,21.740408290241035,-4.273754,10.925356,0,"marriage, love, husband, meets, affair"
