topic_id,keyword,score
0,family,0.01677
0,school,0.012019
0,love,0.012007
0,job,0.009997
0,young,0.008867
0,relationship,0.008789
0,comedy,0.007725
0,friend,0.007691
0,friends,0.007533
0,trying,0.007316
1,time,0.024457
1,mysterious,0.013582
1,human,0.013206
1,secret,0.011329
1,discover,0.01121
1,come,0.01121
1,live,0.010302
1,young,0.009821
1,magic,0.00966
1,worlds,0.009367
2,love,0.015767
2,mafia,0.015475
2,spy,0.01376
2,criminal,0.013614
2,young,0.013173
2,game,0.012665
2,gang,0.012665
2,skills,0.012261
2,revenge,0.012261
2,captain,0.010749
3,police,0.035203
3,cases,0.019545
3,detective,0.019036
3,serial,0.016574
3,dexter,0.016127
3,murder,0.014941
3,cop,0.014115
3,london,0.012098
3,crime,0.011776
3,criminal,0.011672
4,murder,0.027213
4,secrets,0.026941
4,young,0.025714
4,town,0.021448
4,accused,0.017657
4,hotel,0.01719
4,small,0.016998
4,killer,0.015094
4,maid,0.014819
4,grand hotel,0.014819
5,war,0.038056
5,political,0.026576
5,world war,0.022206
5,agent,0.018983
5,war ii,0.018321
5,ii,0.018321
5,family,0.016381
5,miep,0.01491
5,period,0.014251
5,long,0.013957
6,school,0.03473
6,love,0.02819
6,young,0.022711
6,old,0.022401
6,lena,0.021815
6,stef,0.021815
6,unlikely,0.017786
6,childhood,0.017468
6,age,0.016434
6,brother,0.016219
7,drug,0.038445
7,crime,0.035737
7,mob,0.026548
7,based,0.026434
7,look,0.023067
7,gang,0.023067
7,spanish thriller,0.020401
7,italian,0.020401
7,epidemic,0.020401
7,saviano,0.020401
8,family,0.044297
8,relu,0.035969
8,underworld,0.032738
8,mafia,0.030682
8,boss,0.027631
8,york,0.025654
8,escape,0.023011
8,tries,0.023011
8,prison,0.020477
8,pete,0.019988
9,doctor,0.060473
9,hospital,0.045244
9,medicine,0.037282
9,staff,0.037282
9,medical,0.033135
9,pain,0.027623
9,stay,0.027623
9,practice,0.027623
9,young doctor,0.027623
9,zoe,0.027623
10,century,0.033749
10,süleyman,0.029981
10,king,0.025575
10,epic,0.025117
10,war,0.025019
10,england,0.02363
10,jumong,0.023525
10,brahim,0.023525
10,ragnar,0.023525
10,history,0.023031
11,vampire,0.054142
11,reality,0.037851
11,michael,0.032544
11,supernatural,0.029162
11,creatures,0.027314
11,werewolf,0.027314
11,vampires,0.027314
11,mysterious,0.023595
11,dr,0.021508
11,dark,0.020577
