imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt0439100,Weeds,0,43.80851762945574,16.06755,8.588992,3,"family, school, love, job, young"
tt0805663,Jericho,2,42.503097188991696,12.175236,11.451722,1,"love, mafia, spy, criminal, young"
tt0840196,Skins,0,49.29733024762911,15.191172,7.4129524,3,"family, school, love, job, young"
tt0804503,Mad Men,-1,54.11739270251413,14.980588,9.601766,-1,
tt0904208,Californication,0,50.8473567484582,15.634787,7.881742,3,"family, school, love, job, young"
tt0976014,Greek,0,47.62413496149726,15.498021,7.194909,3,"family, school, love, job, young"
tt0397442,Gossip Girl,4,48.08031409409819,15.819352,9.861164,1,"murder, secrets, young, town, accused"
tt0903747,Breaking Bad,8,66.69160663707882,15.055344,10.164774,1,"family, relu, underworld, mafia, boss"
tt0944947,Game of Thrones,-1,55.14826817331841,11.210112,8.988005,-1,
tt1699748,Hell on Wheels,-1,48.5741436508717,13.181321,12.397244,-1,
tt1520211,The Walking Dead,1,45.23491147249551,10.022937,8.729465,2,"time, mysterious, human, secret, discover"
tt2364582,Marvel's Agents of S.H.I.E.L.D.,-1,50.87886363180345,10.446208,8.853081,-1,
tt0934814,Chuck,2,55.66999941621516,12.359749,11.270204,1,"love, mafia, spy, criminal, young"
tt0773262,Dexter,3,59.54078894887878,15.61674,11.833249,1,"police, cases, detective, serial, dexter"
tt1796960,Homeland,5,47.69767812355409,13.22255,10.031834,0,"war, political, world war, agent, war ii"
tt1124373,Sons of Anarchy,-1,56.11325767663408,11.969412,10.868261,-1,
tt1839578,Person of Interest,2,57.168165476251744,12.527079,11.27715,1,"love, mafia, spy, criminal, young"
tt2193021,Arrow,2,43.37010679275933,12.439501,11.322431,1,"love, mafia, spy, criminal, young"
tt1844624,American Horror Story,-1,41.13612607124952,11.612764,8.510739,-1,
tt2191671,Elementary,3,46.21270914807841,15.248642,11.378054,1,"police, cases, detective, serial, dexter"
tt1327801,Glee,0,42.988042353802605,15.431754,6.848444,3,"family, school, love, job, young"
tt1219024,Castle,-1,52.100088377603306,15.132753,11.270342,-1,
tt2249007,Ray Donovan,-1,45.91867766049948,15.109746,9.73785,-1,
tt2372162,Orange Is the New Black,0,44.54775159801663,15.774024,8.834452,3,"family, school, love, job, young"
tt1856010,House of Cards,5,44.301409342545625,13.7618885,10.062484,0,"war, political, world war, agent, war ii"
tt2249364,Broadchurch,4,50.98945813236936,15.896937,10.524813,1,"murder, secrets, young, town, accused"
tt1442462,The Good Wife,-1,46.12571937061835,15.073147,9.458008,-1,
tt1489428,Justified,-1,56.212875615920346,15.32077,11.173969,-1,
tt0491738,Psych,4,56.07997454347764,15.489354,10.892621,1,"murder, secrets, young, town, accused"
tt0458253,The Closer,3,42.301834010679926,15.335977,11.924617,1,"police, cases, detective, serial, dexter"
tt0979432,Boardwalk Empire,7,58.93016480474531,14.539657,10.7465,1,"drug, crime, mob, based, look"
tt0460681,Supernatural,11,56.096172166114464,11.19189,8.448598,2,"vampire, reality, michael, supernatural, creatures"
tt0813715,Heroes,1,42.98648149525303,10.357155,8.188227,2,"time, mysterious, human, secret, discover"
tt0485842,Studio 60 on the Sunset Strip,9,42.90104868013862,15.428934,8.1602545,3,"doctor, hospital, medicine, staff, medical"
tt1119644,Fringe,-1,55.35932480249425,10.472952,8.338752,-1,
tt0384766,Rome,-1,59.35155776299468,11.9579115,10.140281,-1,
tt0460627,Bones,-1,46.90765154254971,15.490102,11.687732,-1,
tt0491603,H2O: Just Add Water,1,43.2534967877058,10.625917,8.697908,2,"time, mysterious, human, secret, discover"
tt0455275,Prison Break,2,56.28946096166156,12.250506,10.645635,1,"love, mafia, spy, criminal, young"
tt0874608,Lewis,3,42.84041064992029,15.471341,11.667657,1,"police, cases, detective, serial, dexter"
tt0442632,Bleak House,-1,42.85135536818023,16.407087,10.482275,-1,
tt0810788,Burn Notice,2,50.9315016545701,12.340348,10.9532995,1,"love, mafia, spy, criminal, young"
tt0758790,The Tudors,10,42.475728736676096,12.5694895,8.845988,0,"century, süleyman, king, epic, war"
tt0478942,Life on Mars,1,49.70128045317191,9.962768,8.076873,2,"time, mysterious, human, secret, discover"
tt1772685,Coffee Prince,0,40.31885644672482,16.234854,7.577197,3,"family, school, love, job, young"
