hit_unique_keyword,hit_unique_score,flop_unique_keyword,flop_unique_score
reality,0.0379,telenovela,0.0682
medicine,0.0373,students,0.0563
staff,0.0373,navigate,0.0506
relu,0.036,british,0.0448
crime,0.0357,mexican,0.0427
century,0.0337,convicted,0.041
underworld,0.0327,mother,0.0406
michael,0.0325,marriage,0.0401
mafia,0.0307,la,0.0384
süleyman,0.03,friendship,0.0382
supernatural,0.0292,televisa,0.0376
boss,0.0276,russian,0.0354
zoe,0.0276,earth,0.0352
pain,0.0276,stan,0.035
stay,0.0276,mexican telenovela,0.0348
young doctor,0.0276,elite,0.0325
practice,0.0276,madeline,0.0322
creatures,0.0273,case,0.03
werewolf,0.0273,difficult,0.0299
political,0.0266,world,0.0296
mob,0.0265,el,0.0289
based,0.0264,kovalev,0.0277
york,0.0257,soccer,0.0277
epic,0.0251,husband,0.0275
time,0.0245,meets,0.0271
england,0.0236,lucia,0.0268
jumong,0.0235,eun,0.0265
ragnar,0.0235,wwii,0.0265
brahim,0.0235,jennings,0.026
look,0.0231,mines,0.026
history,0.023,complicated reality,0.026
tries,0.023,reality friendship,0.026
old,0.0224,blog,0.026
world war,0.0222,remake,0.0254
stef,0.0218,father,0.0254
lena,0.0218,scott,0.0253
dr,0.0215,german,0.0253
town,0.0214,historical,0.0253
epidemic,0.0204,deadly,0.0251
spanish thriller,0.0204,star,0.0244
saviano,0.0204,mexico,0.0241
italian,0.0204,wife,0.0236
pete,0.02,artem,0.0235
war ii,0.0183,justice,0.0231
ii,0.0183,starring,0.023
unlikely,0.0178,maya,0.0228
accused,0.0177,keith,0.0228
childhood,0.0175,miniseries based,0.0228
hotel,0.0172,melissa,0.0228
small,0.017,university,0.0227
serial,0.0166,murdered,0.0222
age,0.0164,surgeon,0.0222
dexter,0.0161,affair,0.021
miep,0.0149,younger,0.021
grand hotel,0.0148,student,0.0208
maid,0.0148,alien,0.0207
period,0.0143,accident,0.0203
cop,0.0141,community,0.0203
long,0.014,detectives,0.0202
criminal,0.0136,self,0.0201
game,0.0127,anton,0.0196
revenge,0.0123,football,0.0196
skills,0.0123,presidential,0.0196
london,0.0121,presidential candidate,0.0196
come,0.0112,male students,0.0196
captain,0.0107,cutthroat,0.0196
job,0.01,lou,0.0196
magic,0.0097,siri,0.0196
worlds,0.0094,rosemary,0.0196
comedy,0.0077,ha,0.019
trying,0.0073,li,0.019
,,soo,0.019
,,ador,0.0186
,,1995,0.0186
,,citadel,0.0186
,,sakura,0.0182
,,fan,0.0182
,,sakura hiraga,0.0182
,,hiraga,0.0182
,,prestigious,0.018
,,girls,0.0175
,,journey,0.0166
,,half,0.0161
,,min,0.0161
,,investigation,0.0161
,,tensions,0.0161
,,daughter,0.016
,,money,0.0158
,,hel,0.0154
,,patient,0.0154
,,psychiatrist,0.0154
,,eun ha,0.0149
,,city,0.0143
,,mission,0.0143
,,murder case,0.0138
,,martial arts,0.0132
,,meet,0.0131
,,son,0.013
,,diego,0.0117
,,different,0.0114
,,space,0.0111
,,population,0.0111
,,galaxy,0.0111
,,channel,0.0111
