keyword,direction,delta_value
york,hit+,0.006930333564553283
america,hit+,0.005654696285751981
england,hit+,0.005064373301215104
war,hit+,0.004926567346844229
boss,hit+,0.004557567080063969
prison,hit+,0.004287094287156497
history,hit+,0.004054437957817573
comedy,hit+,0.0039638521481254975
dreams,hit+,0.003931302038530369
present,hit+,0.003898246341147842
mafia,hit+,0.0036155582190632285
conflict,hit+,0.003566743644852101
tale,hit+,0.003554017177097326
break,hit+,0.0034474223773001867
unexpected,hit+,0.0034328124100230107
chief,hit+,0.00338939344470741
struggles,hit+,0.0033629173510250233
religious,hit+,0.003305968978325415
viking,hit+,0.003275475897898666
computer,hit+,0.003267422460967227
soldier,hit+,0.00323954150746272
law,hit+,0.003233274724623502
kind,hit+,0.0032113718165511624
deal,hit+,0.003181371834353668
novels,hit+,0.0031653038397996096
music,hit+,0.003147693480896294
working,hit+,0.00312281976272234
christmas,hit+,0.003076701315505591
early,hit+,0.0030739864772631187
violent,hit+,0.0030663374633069567
love,nonhit+,0.009458627185169507
telenovela,nonhit+,0.00873912575282643
mexico,nonhit+,0.007456796195325938
daughter,nonhit+,0.0066201652130019875
friends,nonhit+,0.0063696034183855395
mexican,nonhit+,0.006274710753070761
star,nonhit+,0.00556572421822837
colombia,nonhit+,0.005244801411240423
husband,nonhit+,0.004763215652592301
elite,nonhit+,0.004684088783051736
lies,nonhit+,0.004347824918267227
mexican telenovela,nonhit+,0.0043463134310120985
truth,nonhit+,0.004213689233913322
marriage,nonhit+,0.004181947479004255
business,nonhit+,0.0041125300627901425
hiding,nonhit+,0.004063782844758953
married,nonhit+,0.004034687385041577
tragedy,nonhit+,0.004001619855547228
dating,nonhit+,0.00396117452717312
risk,nonhit+,0.00379603793757851
save,nonhit+,0.0037731843040813254
fianc,nonhit+,0.0037299697636982852
fate,nonhit+,0.0036632130532249342
sister,nonhit+,0.0036548322147541027
disappearance,nonhit+,0.0035917355027326814
crashes,nonhit+,0.0035322508281126416
colombian,nonhit+,0.0035208040102012554
powers,nonhit+,0.003508593310951409
threatening,nonhit+,0.0034669499316984063
unravel,nonhit+,0.0034507781915573913
