topic_id,cluster,item_count,keywords
0,0,281,"killer, serial, murder, serial killer, daughter"
1,1,277,"mother, father, evil, daughter, haunted"
2,1,211,"earth, alien, planet, space, mission"
3,0,204,"love, school, married, high school, wedding"
4,1,177,"friends, island, shark, party, game"
5,3,165,"save, friends, adventure, cat, princess"
6,5,158,"interviews, look, tour, rise, history"
7,3,144,"king, treasure, ancient, dragon, power"
8,4,144,"heist, agent, drug, cia, thief"
9,0,119,"mother, father, paris, love, school"
10,0,114,"christmas, wedding, love, perfect, romance"
11,4,100,"fighter, agent, brother, cho, fight"
12,1,99,"zombies, horror, friends, zombie, school"
13,0,83,"father, son, parents, decides, birthday"
14,2,80,"war, soldiers, enemy, german, world war"
15,0,79,"school, high school, friends, senior, college"
16,0,76,"love, relationships, relationship, roy, old"
17,1,75,"earth, massive, asteroid, disaster, planet"
18,1,73,"shark, sharks, island, ocean, sea"
19,1,70,"students, college, school, college students, murders"
20,0,65,"special, comedian, outrageous, stand, schumer"
21,4,60,"special, military, war, special forces, terrorist"
22,1,59,"zombie, zombies, infected, virus, undead"
23,0,58,"recep, france, trip, gigolo, patrick"
24,4,53,"gantz, detective, murder, assassin, kill"
