Topic,Count,Name,Representation,Representative_Docs,Representative_Docs_Titles
-1,2189,-1_old_mysterious_friends_father,"['old', 'mysterious', 'friends', 'father', 'help', 'death', 'daughter', 'dead', 'school', 'discover']","['Amber dreams of escaping her small town existence and persuades her friends to accompany her to find an apartment in the big city. When their transportation breaks down, she and her friends gratefully accept a ride in the back of a semi. But when the driver refuses to stop and they discover the cargo is hundreds of cartons of blood, they panic. Their panic turns to terror when the truck disgorges them into a dark, abandoned warehouse where blood-thirsty creatures learn to hunt human prey, which, the friends realize, is what they now are... Written by Svetlio Svilenov', ""When Chance (Brian Presley) returns home after five years in jail, he is determined to escape his past, start a new life and make peace with his father, (Ed Harris, Golden Globe® winner), who is the head of the Aryan Brotherhood prison gang and serving a life sentence for murder. Upon his release, his dreams of a crime-free future begin to disintegrate when he is forced to assume his best friend's outrageous debt to a local mobster. Despite being thrust back into a world of organized fighting, drug dealing and ties to corrupt police agents, Chance falls in love with Pearl (Academy Award® nominee Taraji P. Henson) and the prospect of living a normal life seems almost within reach. But will he be able to escape the crimes of his father and his past?"", ""A supernatural thriller, laced by flashbacks, and set in Canada’s North-West, “The Stranger” turns on the mysterious titular figure of Martin, who comes to a small quiet town seeking to kill his wife Ana who suffers from a very dangerous decease that makes her addicted to human blood - just like himself-. However, when he arrives to the town, he discovers that Ana has been dead for a couple of years and decides to commit suicide to definitely eradicate this dangerous decease, but, before he can do it, Martin's brutally attacked by three local thugs led by Caleb, the son of a corrupt police lieutenant, and the incident suddenly starts a snowball that will plunge the community into a bloodbath.""]",
0,281,0_killer_serial_murder_serial killer,"['killer', 'serial', 'murder', 'serial killer', 'daughter', 'husband', 'love', 'wife', 'escape', 'detective']","[""Amber Vickers is ecstatic that she will finally be making the walk down the aisle with her prince charming Luke. After multiple failed relationships, she was beginning to think that something was wrong; but her soon-to-be mother-in-law and best friend, Jill, believes that Amber is the picture-perfect daughter she never had. Everything is coming up roses until Sharon Vickers, Amber's mother, arrives for a visit. Gaudy, straight-laced and opinionated, Sharon is the complete opposite of Jill. What was supposed to be a benign first meeting of the in-law's quickly turns into a competition, as Sharon and Jill have widely differing views on life, love and marriage. As the weekend visit is coming to an end, Sharon takes matters into her own hands, rendering Jill incapable of escaping her house, and proving to her once and for all that no one comes between Sharon and her daughter."", ""A police detective consults with incarcerated serial killer Ted Bundy to help him catch The Green River Killer. Based on terrifying true life elements which inspired Silence of the Lambs. In 1984, police in Washington State are investigating a spate of serial murders committed by a mysterious man known as The Green River Killer. With no leads to go on, the detective in charge of the case consults with psychologists in an attempt to get inside the mind of the killer. But when that doesn't produce a positive result and the killings continue, the detective realizes that the only way to understand what makes a serial killer tick is to meet one. So he visits the imprisoned Ted Bundy, one of the most notorious serial killers in American history."", ""A young girl is kidnapped by a serial killer. The serial killer uses manholes to kidnap and kill his victims. The young girl's older sister tries to save her before it's too late.""]",Mad Mom | Bundy and the Green River Killer | Manhole
1,277,1_mother_father_evil_daughter,"['mother', 'father', 'evil', 'daughter', 'haunted', 'dark', 'old', 'emma', 'past', 'spirit']","[""When teenage Molly Hartley moves to a new town, she's haunted by terrifying visions that may have to do with dark secrets from her past. Something evil lurks just beneath the lush surfaces of her private-school world, and it holds the rights to her very soul. On the eve of her 18th birthday, Molly is about to discover the truth of just who or what she is destined to become."", 'Faith’s world is turned upside down after she finds out that her beloved father is dying. When the mysteriously alluring Sissy Young becomes her field hockey coach, Faith finds a compassionate spirit and much-needed mother figure. Little does she know that Sissy is the head of a centuries-old witches’ coven that uses the fruit of an ancient cherry tree in a secret ritual that restores life to the dead and dying. Offering to cure her father in exchange for a child, Sissy strikes a bargain with Faith, who suddenly finds herself pregnant with a baby that’s growing at an alarming rate. But with the clock to the child’s birth ticking down and the true intention of Sissy’s plans for humanity becoming more apparent, Faith and her father must stand together in order to save both their lives.', 'After tragic death of her baby son, a narcoleptic mother with young daughter suffers from terrifying sleep disruptions as they try to deal with ongoing pain and grief. They begin experiencing different episodes of parasomnia including night terrors and sleep paralysis, leaving them unable to move and only able to witness horrific visions. These nightmares become too disturbing as they create a rift in their own realities causing the mother to believe someone or something is watching her sleep every night. Soon the terrifying visions from their dreams begin to manifest into a sinister reality, leaving the mother vulnerable.']",The Haunting of Molly Hartley | Cherry Tree | After She Wakes
2,211,2_earth_alien_planet_space,"['earth', 'alien', 'planet', 'space', 'mission', 'future', 'technology', 'humans', 'dinosaurs', 'mars']","['With the space program attempting to travel to Mars, 21st century scientists were tasked with warming up the planet so that humans could survive on its surface. They came up with an efficient and cost effective plan of sending cockroaches and mold to the surface so that the mold would absorb the sunlight and the insect corpses would serve as a food source for the mold.  It is now the year 2577 and the first manned ship to Mars has landed on the planet and the six crew members are ready for their mission. But what they find are giant mutated humanoid cockroaches with incredible physical strength. The crew members are easily wiped out, but not before sending a transmission back to Earth. Now, humanity will send elite warriors to exterminate the mutated bugs and claim back Mars.', ""Earth has completely succumbed to an alien invasion, and the planet, which was once everyone's home, has become a hell. To stop the monsters from invading, the guard troops formed by different countries have disregarded their personal safety to defend what is left. Cheng Ling, who barely survived the times by scavenging from the garbage, met Zhu Rong's team when he was being attacked by an alien hellhound. With the help of Gao Ren and the others, Cheng Ling believes that it's destiny that leads him here, so he decided to accept the mission to destroy the aliens' evil plans and search for new hope for humanity. Along the way, the team was encircled by the plunderers and chased by hellhounds. They met Dr. Dojepamo, who had mastered the technology to subdue the hellhounds. When the group finally arrived at the resistance point, they discovered that the so-called resistance point was just a trap set by the hellhound hunters. The real danger has just begun..."", ""Mankind must fight to survive as Earth is invaded by hostile UFOs bent on destroying the planet. As the epic battle wages on, astronauts sneak aboard the mothership where they discover a portal to the aliens' home world. They manage to alert Earth before they are brutally murdered. Left with no other choice, Earth sends an elite military team of science and combat specialists through the portal where they attempt to stop the invasion from the inside out.""]",Terra Formars | Battlefield: Fall of The World | Age of Tomorrow
3,204,3_love_school_married_high school,"['love', 'school', 'married', 'high school', 'wedding', 'friends', 'friend', 'best', 'relationship', 'couple']","['Valentine is convinced she’s in love with Jérôme, her best friend and work partner. She decides to share her feelings with him while they’re away in Bora Bora on a business trip. But there’s a bad surprise in store: Jérôme’s new girlfriend, Céleste, has decided to tag along. Valentine will have to put up a real fight to win over the love of her life, under the amused gaze of Marc, their guide in the “lovers’ paradise.” But as the days roll by, Valentine realizes she was wrong about Jérôme, and discovers true love elsewhere…', 'Alex, a lovable, unassuming dog trainer is in love with a great woman - Katherine - smart, talented, from a good family. Katherine adores Alex\'s quirky sense of humor, honesty and capacity to listen. Having decided to pop the question, Alex is blindsided when Katherine produces a detailed list of well-thought-out ""improvements"" she feels will tweak Alex on their way to becoming the ideal couple. Alex instinctively rejects the suggestion that he needs to change anything. But with the threat of a new competitor, Alex decides to ""do the list."" Guided by a coterie of friends that include: Dave, Alex\'s loyal childhood buddy, best female friend Lily, her husband Michael, and their 8 year old son, Nicky, Alex\'s journey has him reconsider and question his beliefs, values and world.', ""Sofia is the black sheep of her family. She is a 28-year-old gay girl who can’t help but cheat on her partner and struggles to find a stable job. She has left a little town in Calabria, her homeland in Southern Italy, to move to Milan, where she lives with her roommate Alessandro. Mauro is Sofia's brother. Reliable and loving, unlike Sofia with whom he has a troubled relationship, Mauro has never left Calabria and runs the family winery. Despite their opposite attitudes, Sofia and Mauro has one thing in common. Michela is Sofia's first and only love, but she is Mauro’s bride-to-be. When Sofia realizes that she is about to lose the woman of her life, she decides to go back home to Calabria and win back her true love. This unexpected return will break the delicate balance of Mauro and Sofia’s family and will force the two siblings to a showdown, when they will choose who they really want to be when they grow up. A story of rekindled loves, friendship, growth, and family.""]",Love in Bora Bora | Alex & the List | My Brother and I
4,177,4_friends_island_shark_party,"['friends', 'island', 'shark', 'party', 'game', 'weekend', 'abandoned', 'vacation', 'turn', 'discover']","['A group of 7 youngsters decide to spend a night at a reportedly haunted hotel to celebrate the farewell of one of them leaving for the USA. Despite people\'s warnings and other ""signs"" trying to ward them off from there, they enter the hotel, and then the truth dawns on them.  Seven friends - Sam alias Samrat, Magesh, Achint, Neel, Neena, Sonia and Magi reunite after several years apart to celebrate the farewell of one of their friends, who is going abroad in order to pursue his career and fulfill his goals. The group soon learns about an abandoned hotel with strange stories around it. Much against warnings, they decide to spend a night at the hotel, and soon realize the mistake of their lives.', 'Eight college friends head to a ""Haunted Rental"" in a remote town for Halloween weekend. There, they play the game rumored to have caused the deaths of seven teenagers decades earlier, Truth or Dare. What starts out as vodka induced fun, quickly turns serious when the dares become sickeningly dangerous and the truths threaten to tear the group apart. When players attempt to refuse the increasingly challenging tasks, they\'re met with deadly consequences, quickly discovering: you must do the dare, or the dare does you. As the death toll mounts, the remaining players must race against the clock to outrun, outsmart and outlast the simple game of Truth or Dare.', 'Three years ago, twenty-two year old ""girl-next door"" Rachel barely survived a brutal massacre that left all of her friends murdered. Time has passed, and Rachel has moved on, but unfortunately her close friends are spending Spring Break in a secluded house in the woods, and they have cordially invited her to join. She would never have accepted the invitation if she realized that another bloodbath would be showing up as plus one. Once Rachel and her friends arrive at the cabin, the partying, sex, and...terror begins. From girls\' only pillow fights to debauchery in a bedroom, it\'s going to be a blast...aside from the stabbing, flesh melting, and castration. Seven friends will go into a secluded house for the best Spring Break of their lives, but only one will be alive to post about it on Facebook the next week, as Rachel\'s biggest fears become a reality once again! Can Rachel survive another bloody massacre?']",Horror Story | Truth or Dare | WTF!
5,165,5_save_friends_adventure_cat,"['save', 'friends', 'adventure', 'cat', 'princess', 'help', 'little', 'evil', 'magical', 'island']","[""Sweet and savvy talking golden retriever, Bailey, is one doggone lucky pooch when his devoted owner, Constance Pennington, leaves him her entire billion-dollar fortune. Bailey is lucky, that is, until he becomes the target of an elaborately-designed dognap scheme hatched by Constance's nasty nephew Caspar and his money-hungry wife Dolores. The despicable duo's wicked plan is to ultimately gain custody of the canine so they can get their greedy paws on his inheritance. Unfortunately for them, there's a thing or two they don't know about Bailey. Not only does he have great street smarts, he has great pals too. Bailey's loyal guardian Ted, kind-hearted animal advocate Marge, her daughter Sam, and a clever border collie named Tessa set out on a hilarious madcap adventure to free their four-legged friend and put the nasty dognappers out of business-for good!"", ""Seven clumsy dwarfs try to undo the spell they unwillingly unleashed and save the fairy tales world with the help of a tired dragon and a butterfly. The evil witch Dellamorta cursed princess Rose when she was a baby. Before she turns 18, Rose will get stung in the finger by a sharp object and she and the whole castle will fall into a hundred year long sleep unless her true love would kiss her. The night before her birthday she sends her bf Jack to the 7 dwarfs, who live behind the 7 mountains to hide until after Rose has turned 18. Unfortunately he gets lost and captured by Dellamorta's dragon Burner. So at the party, Rose gets stung in the finger, and everyone falls into deep sleep. Everyone but the 7 dwarfs of course who will go on a journey to save Jack so he can save Rose."", 'With her parents away for the summer, fun-loving, young Princess Alise must spend her time with Queen Uberta, training to be the perfect, proper royal...But what she really wants is to become a swashbuckling pirate! Princess Alise sets sail with Lord Rogers, Jean-Bob the frog and Speed the turtle on a bold, high seas journey filled with amazing adventure, danger and discovery. After a shipwreck leaves the brave crew stranded on a wild, mysterious island, they meet Lucas, a young boy who has been living in seclusion. Now the faithful friends must work together to escape the island and the ferociously hungry creatures that dwell there.']","Bailey's Billion$ | The 7th Dwarf | The Swan Princess: Princess Tomorrow, Pirate Today!"
6,158,6_interviews_look_tour_rise,"['interviews', 'look', 'tour', 'rise', 'history', 'journey', 'explores', 'making', 'evidence', 'stars']","['A multi-part documentary about the making of the Jurassic Park trilogy. Each part walks through the making of part of one of the films, including the hurricane during the shooting of the first film, and how advances in CGI for Jurassic Park helped change the world of special effects forever. All interviews for these retrospective documentaries come with comments from Spielberg, Johnston, Neill, Dern, Goldblum, the effects crews, the child actors, and Peter Stormare. This documentary is broken into six parts: Dawn of a New Era (25 min), Making Prehistory (20 min), The Next Step in Evolution (15 min), Finding the Lost World (28 min), Something Survived (16 min), and The Third Adventure (25 min).', 'Following the release of their fifth studio album ‘LM5’, Perrie Edwards, Jesy Nelson, Leigh-Anne Pinnock and Jade Thirlwall embarked on ‘LM5 The Tour’ in 2019, taking in 40 arenas across Europe, including Spain, Italy, Germany, Netherlands, Belgium, France, UK and Ireland. They sold over 400,000 tickets including an almighty 5 sold out shows at the 02 London.  This film was recorded at the final show of the tour at London’s iconic 02 arena. In a career spanning set of nineteen songs the group perform hits such as ‘Shout Out to My Ex’, ‘Woman Like Me’, ‘Wings’ and ‘Touch’ to a crowd of over 15,000.', ""Broadly considered a brand that inspires fervour and defines cool consumerism, Apple has become one of the biggest corporations in the world, fuelled by game-changing products that tap into modern desires. Its leader, Steve Jobs, was a long-haired college dropout with infinite ambition, and an inspirational perfectionist with a bully's temper. A man of contradictions, he fused a Californian counterculture attitude and a mastery of the art of hype with explosive advances in computer technology.  Insiders including Apple co-founder Steve Wozniak, the chairman who ousted Jobs from the company he founded, and Jobs' chief of software, tell extraordinary stories of the rise, fall and rise again of Apple with Steve Jobs at its helm.  With Stephen Fry, world wide web inventor Sir Tim Berners-Lee and branding guru Rita Clifton, Evan Davis decodes the formula that took Apple from suburban garage to global supremacy.""]",Return to Jurassic Park | Little Mix: LM5: The Tour Film | Steve Jobs: Billion Dollar Hippy
7,144,7_king_treasure_ancient_dragon,"['king', 'treasure', 'ancient', 'dragon', 'power', 'land', 'evil', 'kingdom', 'quest', 'prince']","[""In early Republican China, rumors were going around about the treasure in Wudang Mountain. An American conspirator took his well-trained kung fu daughter to Wudang by sponsoring a Taoist martial arts competition, to steal the treasure. Out of expectation, a disciple represented Wudang to compete with other martial arts masters for the championship. During the competition, resentment incurred against different parties, the relationship became complicated, a Korean female Tai Chi descendant fell in love with the American conspirator and the secret of the treasure had been revealed. The treasure is the key of the magnetic field of Wudang, if it's stolen, Wudang would be devastated. To protect Wudang, a group of young heroes rallied around to defeat grant masters. It's the time the long-lost Wudang martial arts returned"", 'In ancient times, there were seven sacred scrolls believed to grant power and prosperity to those who possessed them. Prophecy told that a child born in pure Royal blood would one day harness power and rule over the nations. As men fought to claim the scrolls, Europe was pushed to the brink of war. In order to maintain peace, a Celtic King, the Father of a pure blood child, obtained the scrolls and gave them to the Christian Council for safe keeping. As word of the King’s actions spread, a warlord hell – bent on finding the scrolls murdered him in cold blood. And so, the King’s Daughter, like the scrolls, was taken into hiding until the day that the prophecy could be fulfilled ...', 'The wandering knight, Bedivere, reaches the end of his journey. It is A.D. 1273 in Jerusalem. The Holy Land has been transformed into a massive desert and its people have been forced out of their homes as three major powers wage war with each other in this wasteland. The Knights of the Round Table come together to protect the Holy City and their Lion King. With the whole of his kingdom summoned into a strange land, Ozymandias, the Sun King, quietly plots against the tyranny of this bizarre realm. The mountain people, protectors of those who were stripped of their land, await their chance at rebellion. In order to fulfill his mission, Bedivere heads for the Holy City where the Lion King rules. There he meets humanity’s final Master, Ritsuka Fujimaru, who has come to Jerusalem, accompanied by his Demi-Servant, Mash Kyrielight, in their quest to restore human history.']",Wu Dang | Viking Legacy | Fate/Grand Order: Divine Realm of the Round Table - Camelot Wandering; Agateram
8,144,8_heist_agent_drug_cia,"['heist', 'agent', 'drug', 'cia', 'thief', 'criminal', 'crime', 'bank', 'boss', 'ex']","['Seagal stars as mob kingpin Mr. Alexander, an old-school boss who rules his criminal empire with both nobility and brutality. For a simple prison hit, he sends his best enforcer and protégé Roman Hurst (Foster). When the hit goes wrong, Hurst is forced to pay the price of his failure: banishment in the city that he almost once ruled. But a war is brewing for the soul of the city between Alexander, a cold-blooded gangster known as \'The Iceman"" (Rhames) and a merciless Mexican cartel. Hurst, with the help of an ex-con restaurant owner (Trejo) who has a few hidden moves of his own, will rediscover his own will to survive the coming conflict and to wreak vengeance on those who have wronged him.', 'Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.', ""A widowed reporter recruits the help of a federal agent to investigate her late husband's secrets, but the two become the target of unknown attackers.  When FBI Agent John Nelson’s key informant, Miles, is abducted and shot, all that’s left is a severed finger. In order to find a new lead, Nelson travels to New York City to inform widowed magazine reporter Rebecca Scott that her long dead husband, Miles, had only recently been murdered to see if she had heard from him in recent years. Perplexed, Scott joins Agent Nelson in the wealthy enclave of Australia’s Gold Coast to find out what really happened. The two soon discover Miles may have been part of an elaborate “Ponzi scheme” to bilk investors, and a vengeful billionaire, out of millions of dollars. As more layers of Miles’ secret life are exposed, can the two stay ahead of the mysterious attackers who will stop at nothing to halt their investigation?""]",Force of Execution | Cash Out | Absolute Deception
9,119,9_mother_father_paris_love,"['mother', 'father', 'paris', 'love', 'school', 'daughter', 'high school', 'son', 'problems', 'changes']","['Marco and Anita discover they are expecting a child. Finally a ray of light in Marco’s life after his heartbreak following the loss of Leo, his first born with his former wife Clara. Suddenly, however Perla, the new owner where the couple lived until the tragic accident, bursts into Marco’s and his ex-wife’s lives. The mysterious woman claims she keeps feeling a strange presence and hearing the voice of a child that is tormenting her and her son. Marco therefore finds himself torn between the ties of the past and an unwritten future.', 'Pierre is seventeen and in the middle of puberty. He plays in a band, has sex at parties and secretly tries on women’s clothing and lipstick in front of a mirror. Ever since his father’s death, his mother Aracy has looked after him and his younger sister Jacqueline, spoiling them both. But when he discovers that she stole him from a hospital when he was a new born baby, Pierre’s life changes dramatically. In her new film, director Anna Muylaert explores the mother-child relationship through the eyes of a rebellious son whose whole world unravels overnight.', ""When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.""]",You Came Back | Don't Call Me Son | From Straight A's to XXX
