topic,rank,keyword,score
0,1,killer,0.01789461661305829
0,2,serial,0.011300405317663612
0,3,murder,0.010505465610771854
0,4,serial killer,0.009777528948202786
0,5,daughter,0.009254028293118116
0,6,husband,0.008659634487145056
0,7,love,0.00800127044378117
0,8,wife,0.007384981070873581
0,9,escape,0.007230288727815902
0,10,detective,0.0069923254939987575
1,1,mother,0.017798016589480124
1,2,father,0.011959252088226341
1,3,evil,0.010262596890781123
1,4,daughter,0.009943481285287109
1,5,haunted,0.009530237005738063
1,6,dark,0.009390418770073277
1,7,old,0.009344203198234598
1,8,emma,0.008872125610208234
1,9,past,0.008853547503323192
1,10,spirit,0.00864647710679052
2,1,earth,0.023022425940134
2,2,alien,0.021718815154408495
2,3,planet,0.019207020869452616
2,4,space,0.012425134459044624
2,5,mission,0.011008427605470201
2,6,future,0.010743402554604431
2,7,technology,0.008760720667545385
2,8,humans,0.008545893288740726
2,9,dinosaurs,0.008521148475681055
2,10,mars,0.008521148475681055
3,1,love,0.02881608679031756
3,2,school,0.016587659537102808
3,3,married,0.013037950022124913
3,4,high school,0.012041170935932839
3,5,wedding,0.011792330457352826
3,6,friends,0.011459867207608387
3,7,friend,0.011277637920686649
3,8,best,0.010885650664842114
3,9,relationship,0.010128858375787864
3,10,couple,0.00984473181399576
4,1,friends,0.048771740585402394
4,2,island,0.012671358253775541
4,3,shark,0.012000321274151276
4,4,party,0.01148042681418235
4,5,game,0.010567004283736305
4,6,weekend,0.010520144395992066
4,7,abandoned,0.010350098644504434
4,8,vacation,0.009906329197390049
4,9,turn,0.009234932338101066
4,10,discover,0.009130625643755367
5,1,save,0.013138201650085314
5,2,friends,0.012639672999368908
5,3,adventure,0.012155890350768422
5,4,cat,0.011930603314651327
5,5,princess,0.009143850942384044
5,6,help,0.009027678521580214
5,7,little,0.00857208127347492
5,8,evil,0.008459324516361662
5,9,magical,0.00759697119141402
5,10,island,0.007376890899986025
6,1,interviews,0.014898292227361621
6,2,look,0.011287540856964252
6,3,tour,0.008323268900108339
6,4,rise,0.007510084278749644
6,5,history,0.007439409264293556
6,6,journey,0.006282847882460038
6,7,explores,0.006144762301843037
6,8,making,0.00597057602027973
6,9,evidence,0.005927743193488113
6,10,stars,0.005776094947489261
7,1,king,0.0241813957960699
7,2,treasure,0.014728606841447084
7,3,ancient,0.012451048959403343
7,4,dragon,0.012436614142705811
7,5,power,0.011043827123471097
7,6,land,0.010923980315849301
7,7,evil,0.0108761157208917
7,8,kingdom,0.010242227694434471
7,9,quest,0.008874353921796167
7,10,prince,0.008357304530746045
8,1,heist,0.021212112356080004
8,2,agent,0.018372901918373742
8,3,drug,0.014511025947316339
8,4,cia,0.013324330254951436
8,5,thief,0.011830427290626501
8,6,criminal,0.011577496278872272
8,7,crime,0.01128069008995909
8,8,bank,0.010395975187643462
8,9,boss,0.00921747945741842
8,10,ex,0.008691082080857677
9,1,mother,0.017324092271447968
9,2,father,0.016973597790292578
9,3,paris,0.01279240933531086
9,4,love,0.01203279574637544
9,5,school,0.010945651206851766
9,6,daughter,0.010849094094356266
9,7,high school,0.010313964751244865
9,8,son,0.009214365382496346
9,9,problems,0.008840123632099392
9,10,changes,0.008625750000075445
10,1,christmas,0.04093728334234214
10,2,wedding,0.0205237104338553
10,3,love,0.015448713302075624
10,4,perfect,0.011298930972714972
10,5,romance,0.01101870754838859
10,6,holiday,0.011003745716482539
10,7,relationship,0.010343285333144237
10,8,boyfriend,0.009419545172121725
10,9,help,0.00930050587438239
10,10,married,0.008946982578079772
11,1,fighter,0.014799688622281698
11,2,agent,0.013666688004522929
11,3,brother,0.013659841675997875
11,4,cho,0.013089508996447136
