imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt0444346,Flesh for Sale,6,7.076690953049085,6.2363667,-1.0716039,5,"interviews, look, tour, rise, history"
tt0398378,Vampires: The Turning,-1,17.180007855635278,1.879437,2.2062156,-1,
tt0443590,Mucha Lucha: The Return of El Malefico,7,8.3821619955035,5.4168644,4.6969485,3,"king, treasure, ancient, dragon, power"
tt0427323,The Chaos Class in the Military,15,9.305307014395336,9.276911,2.3180947,0,"school, high school, friends, senior, college"
tt0402294,Iznogoud,-1,13.327869421459845,5.857605,4.41161,-1,
tt0428212,All Souls Day: Dia de los Muertos,-1,10.86702557658406,1.2367814,0.052204143,-1,
tt0393421,Larva,-1,16.86766425985415,1.2873405,2.8132343,-1,
tt0433328,Another Public Enemy,11,18.023306262864097,5.6182156,2.4634535,4,"fighter, agent, brother, cho, fight"
tt0369226,Alone in the Dark,-1,8.777751083097806,2.5429192,1.5300269,-1,
tt0435617,Chupacabra Terror,18,14.170426473433045,0.6566352,2.6182778,1,"shark, sharks, island, ocean, sea"
tt0426556,Raging Sharks,18,9.813074712418931,0.7517862,2.9313946,1,"shark, sharks, island, ocean, sea"
tt0425945,D'Artagnan and the Three Musketeers,7,15.19118878431051,5.206481,4.50902,3,"king, treasure, ancient, dragon, power"
tt0362165,Son of the Mask,5,12.85191955777204,7.395613,4.3130417,3,"save, friends, adventure, cat, princess"
tt0431074,Frostbite,20,8.586439640665043,9.400065,2.2120569,0,"special, comedian, outrageous, stand, schumer"
tt0418325,The Wild Soccer Bunch 2,-1,7.963408802985844,7.2751093,4.029236,-1,
tt0448707,Red Eye,-1,17.420210712639246,2.054731,1.4496487,-1,
tt0426331,La última noche,3,10.473828894107124,8.311904,0.66462696,0,"love, school, married, high school, wedding"
tt0387549,The Roost,4,15.715594280089023,1.175799,0.432825,1,"friends, island, shark, party, game"
tt0450326,Spring Break Shark Attack,4,11.13466326477562,1.3285786,2.0231097,1,"friends, island, shark, party, game"
tt0404496,Blood Angels,-1,13.193274876338112,1.5310062,0.8057004,-1,
