topic,rank,keyword,score
0,1,evil,0.008871385033047798
0,2,adventure,0.008805180453250605
0,3,journey,0.008197528895375467
0,4,save,0.008103017707570518
0,5,help,0.006859642523517751
0,6,land,0.0060720946174222246
0,7,island,0.005862467356542315
0,8,friends,0.005666297900972972
0,9,human,0.005465594707236231
0,10,dragon,0.005394560242828843
1,1,future,0.015759489939122778
1,2,earth,0.015115169722878739
1,3,alien,0.010619698786877177
1,4,planet,0.010524008647707776
1,5,space,0.009907343559836173
1,6,save,0.00845860696334356
1,7,universe,0.008450505946330726
1,8,mysterious,0.008211625965075312
1,9,human,0.008190884984959738
1,10,mission,0.00802923881582869
2,1,love,0.031992795777705994
2,2,relationship,0.014017949905853543
2,3,falls,0.013301298222619587
2,4,falls love,0.011594365458768026
2,5,friend,0.007790100256162238
2,6,married,0.00778712922876928
2,7,romance,0.007650778586649907
2,8,husband,0.007019807873421752
2,9,childhood,0.006764482581944433
2,10,fall,0.006557810217128492
3,1,mother,0.017348155951794
3,2,struggles,0.007714368338424313
3,3,daughter,0.00753330386082453
3,4,friendship,0.007379830552439144
3,5,help,0.007339790111988143
3,6,estranged,0.007261716288557364
3,7,lost,0.006801162358690911
3,8,husband,0.006628728582541725
3,9,returns,0.006315365047355845
3,10,relationship,0.006204842974677348
4,1,love,0.024454913527586504
4,2,marriage,0.012078197899069444
4,3,christmas,0.011535637975571594
4,4,best,0.010210204021252065
4,5,friends,0.00947334360222409
4,6,relationship,0.009344611568059411
4,7,friend,0.008017290373114069
4,8,romantic,0.007954962252646147
4,9,boyfriend,0.007552765245117362
4,10,falls,0.0073381067348895984
5,1,town,0.011693658433417834
5,2,terrifying,0.01161234470178682
5,3,remote,0.010903092546228102
5,4,mysterious,0.010743236046843078
5,5,killer,0.009672531873598842
5,6,zombie,0.009563364579299516
5,7,supernatural,0.008639836182145678
5,8,friends,0.00815618204984009
5,9,dark,0.007946108014845051
5,10,cabin,0.007255501468623785
6,1,case,0.020153925748173106
6,2,murder,0.020138014422095417
6,3,police,0.016119921461178844
6,4,daughter,0.013597867178921643
6,5,detective,0.010602315433866522
6,6,wife,0.010545814626112414
6,7,investigation,0.00961221654519148
6,8,truth,0.00931475772877804
6,9,cop,0.008709755035607128
6,10,killer,0.008578414360223835
7,1,police,0.01803046412805434
7,2,crime,0.015785476170352745
7,3,cop,0.014288325884882047
7,4,gang,0.013023435434744305
7,5,criminal,0.012922530734629085
7,6,drug,0.012183941730894989
7,7,daughter,0.010489306533899227
7,8,revenge,0.009240212569474424
7,9,ex,0.009131669129781781
7,10,boss,0.008687141940847265
8,1,music,0.022142572663647903
8,2,interviews,0.019473687415181542
8,3,band,0.018183991068015343
8,4,concert,0.015799830975201185
8,5,intimate,0.0154892996764263
8,6,tour,0.013945448453418122
8,7,rock,0.013596515880495303
8,8,portrait,0.013305120821222049
8,9,album,0.012723326432802648
8,10,look,0.012050681156834405
9,1,school,0.031557040399775985
9,2,high school,0.02334040311282833
9,3,high,0.022172221238396475
9,4,mother,0.019525345122892813
9,5,friends,0.013213367747650095
9,6,child,0.010075486042690415
9,7,adoption,0.009989752032586868
9,8,best,0.009845724084704478
9,9,start,0.009629201431252487
9,10,children,0.009179971324984373
10,1,century,0.01434876725910468
10,2,queen,0.013524658590185848
10,3,painter,0.010643107324714482
10,4,wife,0.009463808549774655
10,5,king,0.009065037501605335
10,6,elizabeth,0.008516390369456468
10,7,office,0.00838232887555658
10,8,political,0.00837011423447773
10,9,slavery,0.008328804193940767
10,10,margaret,0.008328804193940767
11,1,coach,0.03515167921343372
11,2,boxing,0.021560229600965278
11,3,football,0.01924942230099519
11,4,champion,0.018143209541349938
11,5,boxer,0.01535194653498841
11,6,championship,0.014742472150143878
11,7,basketball,0.013151734386815616
11,8,players,0.012835943869539316
11,9,cricket,0.012737628409710055
11,10,player,0.01196324656598353
12,1,war,0.03911781354556131
12,2,world war,0.030872221379383488
12,3,nazi,0.02828969374405418
12,4,war ii,0.02440216092658662
12,5,jewish,0.02434070293751872
12,6,ii,0.02411755346853153
12,7,german,0.018271910031277108
12,8,soldiers,0.015494724740115345
12,9,resistance,0.015084300638790654
12,10,nazis,0.014340671858883455
13,1,music,0.03504533949550227
13,2,band,0.025582258315669123
13,3,rock,0.01912834097569162
13,4,musician,0.015712819633644803
13,5,dreams,0.01448810161982966
13,6,musical,0.014403417997507736
13,7,singer,0.011504871874978485
13,8,drummer,0.011153452775561243
13,9,success,0.011121754948821762
13,10,musicians,0.010632985549149722
14,1,small,0.011063206224200074
14,2,celal,0.010590650416803404
14,3,angeles,0.010320060252410236
14,4,los angeles,0.010320060252410236
14,5,los,0.010279117626657107
14,6,murder,0.009918304022578388
14,7,lawyer,0.009114178099721424
14,8,american,0.009062542128945115
14,9,turn,0.008660677556203124
14,10,recession,0.008264586275889385
15,1,war,0.05198426209558993
15,2,army,0.024052344741100497
15,3,soldiers,0.02297203210926629
15,4,iraq,0.020527490435752988
15,5,afghanistan,0.017510527641996572
15,6,korean,0.014302524352446527
15,7,vietnam,0.013993261784836983
15,8,soldier,0.012872271917201875
15,9,mission,0.011476690062793619
15,10,navy,0.011442253944306003
16,1,undercover,0.01387616720183984
16,2,assassin,0.010150900743326637
16,3,drug,0.010018745893887643
16,4,police,0.00960339158905996
16,5,school,0.009454161214159974
16,6,high school,0.009323389478722122
16,7,head,0.009262146131914986
16,8,operatives,0.009078391794061476
16,9,sam,0.008700772065708547
16,10,jenko,0.008368886610546746
17,1,love,0.01486699880812525
17,2,andreas,0.011521600879018875
17,3,connor,0.011358672488590396
17,4,mysterious,0.011227721994593773
17,5,strange,0.010805157741462998
17,6,fall,0.010581262028421919
17,7,wakes,0.010253948021888264
17,8,nev,0.010185664756721051
17,9,adem,0.010185664756721051
17,10,abby,0.009816521361215776
18,1,harry,0.020465702003003232
18,2,warriors,0.01832340236724973
18,3,warrior,0.015845165871265745
18,4,kenshin,0.015408287758790419
18,5,voldemort,0.01349411874083492
18,6,ancient,0.013481683824393074
18,7,defend,0.012645635011429188
18,8,prince,0.011916760387703227
18,9,dumbledore,0.01152802164934656
18,10,bilbo,0.01152802164934656
19,1,village,0.029371884468234122
19,2,turkey,0.022910513697151722
19,3,turkish,0.02103898799844837
19,4,istanbul,0.017819288431118005
19,5,teacher,0.016873358118984588
19,6,tala,0.015089524272721923
19,7,palestinian,0.013488423580201097
19,8,hüseyin,0.012434260390873317
19,9,hotel,0.010922706832156844
19,10,cars,0.010790738864160876
20,1,batman,0.05436235602610707
20,2,gotham,0.034703352726748855
20,3,gotham city,0.027090010853822316
20,4,superman,0.02679827632224815
20,5,league,0.024811980363838446
20,6,sonic,0.019638264134995215
20,7,justice league,0.019638264134995215
20,8,wayne,0.01874000536945694
20,9,bruce wayne,0.015011251046333059
20,10,earth,0.014434841988672906
21,1,comedy,0.05476600495405198
21,2,special,0.04698828835333832
21,3,stand,0.04051497288747958
21,4,comedian,0.02458932048637935
21,5,comedy special,0.023204051408365314
21,6,comic,0.020191985628735584
21,7,jim,0.018304453657459398
21,8,burr,0.01710261516142887
21,9,stand special,0.016780697003666415
21,10,topics,0.01497796013288123
22,1,prison,0.023765238141949363
22,2,bank,0.015385604224927678
22,3,brother,0.013534044452617973
22,4,stratos,0.012510544196952295
22,5,mafia,0.012455448517211427
22,6,violent,0.012219254626342883
22,7,johnny,0.011895689376804556
22,8,fbi,0.011664663684159762
22,9,robberies,0.01159560305774003
22,10,gang,0.011406292286282803
23,1,israeli,0.016719607950750868
23,2,journalists,0.016086438934827384
23,3,united states,0.01270547853434401
23,4,states,0.012309609048393752
23,5,united,0.011840235846505906
23,6,inequality,0.01164556226224186
23,7,reich,0.010724292623218255
23,8,interviews,0.010487789823601039
23,9,global,0.010439605960628625
23,10,palestinian,0.010409889257190491
24,1,school,0.02376077747193349
24,2,high,0.019272157532927818
24,3,high school,0.016737224236114616
24,4,demon,0.016245452882289072
24,5,mysterious,0.012273920058642366
24,6,ninja,0.010864938443776914
24,7,sakura,0.010015808959249627
24,8,shouya,0.010015808959249627
24,9,fujino,0.010015808959249627
24,10,love,0.009480510864054985
25,1,indian,0.021695193166573028
25,2,india,0.019911428328586847
25,3,intelligence,0.018413263011939764
25,4,agent,0.017436073361136607
25,5,flight,0.016155702640230616
25,6,terrorists,0.014421508714941763
25,7,officer,0.013949108364465973
25,8,terrorist,0.013935952859778718
25,9,mumbai,0.01256189407111622
25,10,american,0.012391299104640457
