hit_unique_keyword,hit_unique_score,flop_unique_keyword,flop_unique_score
abby,0.0098165213612157,abandoned,0.0103500986445044
adem,0.010185664756721,arturo,0.0087634205231975
adoption,0.0099897520325868,assassins,0.016514779410682
afghanistan,0.0175105276419965,asteroid,0.0154493094646699
album,0.0127233264328026,baron,0.0152518681668673
american,0.0123912991046404,base,0.0151776225279687
andreas,0.0115216008790188,battle,0.0189265663916893
angeles,0.0103200602524102,birthday,0.0110084078878874
army,0.0240523447411004,brent,0.0112942648887731
band,0.0255822583156691,brothers,0.0098420535382515
basketball,0.0131517343868156,carmen,0.0146532998942527
batman,0.054362356026107,cat,0.0119306033146513
bilbo,0.0115280216493465,changes,0.0086257500000754
boxer,0.0153519465349884,cho,0.0130895089964471
boxing,0.0215602296009652,cia,0.0133243302549514
bruce wayne,0.015011251046333,city,0.0131844777105166
burr,0.0171026151614288,college,0.0334441921646498
cabin,0.0072555014686237,college students,0.0149236228782218
cars,0.0107907388641608,couple,0.0098447318139957
case,0.0201539257481731,creature,0.0142538240920954
celal,0.0105906504168034,crocodile,0.0127882743537069
century,0.0143487672591046,deaths,0.0113719412296244
champion,0.0181432095413499,decides,0.0111311251955031
child,0.0100754860426904,detention,0.007836796549843
childhood,0.0067644825819444,dinosaurs,0.008521148475681
children,0.0091799713249843,disaster,0.0150331074467493
coach,0.0351516792134337,discover,0.0091306256437553
comedy special,0.0232040514083653,dr,0.0126434992073392
comic,0.0201919856287355,driver,0.0085898608847385
concert,0.0157998309752011,emma,0.0088721256102082
connor,0.0113586724885903,enemy,0.0277053105317307
cop,0.014288325884882,escape,0.0072302887278159
cricket,0.01273762840971,evidence,0.0059277431934881
defend,0.0126456350114291,explores,0.006144762301843
demon,0.016245452882289,fame,0.0126067469268937
dreams,0.0144881016198296,father,0.0258719753910013
drummer,0.0111534527755612,fight,0.0124183099746156
dumbledore,0.0115280216493465,fighter,0.0147996886222816
elizabeth,0.0085163903694564,filippo,0.0084565524598003
estranged,0.0072617162885573,flesh,0.0080646349101211
fall,0.0105812620284219,france,0.0109384437876767
falls love,0.011594365458768,game,0.0105670042837363
fbi,0.0116646636841597,gangster,0.0100474772650381
flight,0.0161557026402306,gantz,0.0261294543996589
football,0.0192494223009951,giant,0.0174104750520375
friendship,0.0073798305524391,gigolo,0.0094469356400326
fujino,0.0100158089592496,guests,0.0120906371709329
gang,0.0130234354347443,gun,0.0158973144268286
global,0.0104396059606286,haunted,0.009530237005738
gotham,0.0347033527267488,heist,0.02121211235608
gotham city,0.0270900108538223,history,0.0074394092642935
harry,0.0204657020030032,holiday,0.0110037457164825
head,0.0092621461319149,horror,0.014697656496964
high,0.0221722212383964,humans,0.0085458932887407
hotel,0.0109227068321568,ice,0.0146357681753343
human,0.0081908849849597,infected,0.0251048947996188
hüseyin,0.0124342603908733,kill,0.0167379821506683
ii,0.0241175534685315,kingdom,0.0102422276944344
india,0.0199114283285868,lines,0.019062972214035
indian,0.021695193166573,little,0.0103205962338587
inequality,0.0116455622622418,magical,0.007596971191414
intelligence,0.0184132630119397,making,0.0059705760202797
intimate,0.0154892996764263,mars,0.008521148475681
investigation,0.0096122165451914,massive,0.016399753578272
iraq,0.0205274904357529,master,0.009103058912168
israeli,0.0167196079507508,mercenaries,0.0156401536228589
istanbul,0.017819288431118,military,0.0216355083304053
jenko,0.0083688866105467,mom,0.0104995070135523
jewish,0.0243407029375187,murders,0.0139103161637084
jim,0.0183044536574593,naples,0.0087634205231975
johnny,0.0118956893768045,ocean,0.0198144544351311
journalists,0.0160864389348273,old,0.0144522139888848
justice league,0.0196382641349952,outrageous,0.0166304446852206
kenshin,0.0154082877587904,parents,0.0129630168788142
korean,0.0143025243524465,paris,0.0127924093353108
lawyer,0.0091141780997214,parisian,0.0081053728572758
league,0.0248119803638384,party,0.0151023241079122
los,0.0102791176266571,past,0.0094800054789922
los angeles,0.0103200602524102,patrick,0.0088954114152862
lost,0.0068011623586909,perfect,0.0112989309727149
mafia,0.0124554485172114,population,0.0148319566414651
margaret,0.0083288041939407,power,0.011043827123471
marriage,0.0120781978990694,prehistoric,0.0153095989936344
