topic,rank,keyword,score
0,1,detective,0.05204514079632331
0,2,murder,0.03088228627708692
0,3,case,0.03002034057255997
0,4,police,0.022834305254612188
0,5,cases,0.02174460237922332
0,6,detectives,0.02015834149645521
0,7,killer,0.0199763339236635
0,8,investigation,0.01610109542452387
0,9,city,0.014349113374235278
0,10,murder case,0.01377311158261902
1,1,earth,0.03519369894360475
1,2,world,0.029636103501788837
1,3,alien,0.02069250082681364
1,4,love,0.013023802573512216
1,5,human,0.011731232981201585
1,6,mysterious,0.011496583677286143
1,7,space,0.011088939387385671
1,8,population,0.011088939387385671
1,9,galaxy,0.011088939387385671
1,10,channel,0.011088939387385671
2,1,love,0.029023164723720716
2,2,father,0.02539467742418201
2,3,family,0.01694895981351559
2,4,daughter,0.015980837363885912
2,5,relationship,0.014447287675944337
2,6,meet,0.013142617671420142
2,7,son,0.012965829032389197
2,8,diego,0.011691369207873946
2,9,live,0.011413613184137266
2,10,different,0.011413613184137266
3,1,marriage,0.040107549363559925
3,2,love,0.03198175880082022
3,3,husband,0.027493673957333164
3,4,meets,0.027105513839426196
3,5,affair,0.02096939763439891
3,6,younger,0.02096939763439891
3,7,sakura,0.018152622502324987
3,8,sakura hiraga,0.018152622502324987
3,9,hiraga,0.018152622502324987
3,10,fan,0.018152622502324987
4,1,medical,0.046535473987778596
4,2,artem,0.023536572221114656
4,3,surgeon,0.022179170574845
4,4,doctor,0.02000905863814014
4,5,siri,0.019550054542079136
4,6,hospital,0.019550054542079136
4,7,rosemary,0.019550054542079136
4,8,patient,0.015359911348121143
4,9,hel,0.015359911348121143
4,10,psychiatrist,0.015359911348121143
5,1,eun,0.026544268539031166
5,2,friend,0.021147811607177353
5,3,self,0.020123207243061648
5,4,li,0.018966470824405134
5,5,soo,0.018966470824405134
5,6,ha,0.018966470824405134
5,7,love,0.01670688892580161
5,8,journey,0.01655919894086331
5,9,money,0.01580095459418361
5,10,eun ha,0.014901406531759318
6,1,vampire,0.037699547932917556
6,2,vampires,0.020720415655007773
6,3,young,0.01620687228589279
6,4,half,0.01612437124940902
6,5,min,0.01612437124940902
6,6,secret,0.014295017093082587
6,7,human,0.014096470535910366
6,8,discover,0.014096470535910366
6,9,school,0.013998920393922204
6,10,drug,0.013706937808820251
7,1,spy,0.02206389412353031
7,2,1995,0.01857932469630716
7,3,ador,0.01857932469630716
7,4,citadel,0.01857932469630716
7,5,tensions,0.016096733982331187
7,6,young,0.015408660582432001
7,7,mission,0.014288313858192037
7,8,agent,0.013871332988344942
7,9,brother,0.013183723886354932
7,10,martial arts,0.013179295490764836
8,1,telenovela,0.06815512954658984
8,2,mexican,0.04270295699786028
8,3,la,0.03837282640518249
8,4,televisa,0.03760380135662018
8,5,mexican telenovela,0.03482915407262743
8,6,el,0.02888367977110847
8,7,remake,0.025436601999322645
8,8,star,0.024401689713063012
8,9,mexico,0.024125953192406846
8,10,starring,0.022971348640507597
9,1,school,0.05902130139195535
9,2,students,0.05634335459751566
9,3,elite,0.032479860260523505
9,4,university,0.022660827846894376
9,5,student,0.020801049843222067
9,6,male students,0.019616846447703836
9,7,lou,0.019616846447703836
9,8,cutthroat,0.019616846447703836
9,9,prestigious,0.018035780781640084
9,10,girls,0.01747200302491555
10,1,drug,0.03399220525946482
10,2,difficult,0.029917480666180996
10,3,kovalev,0.027692686883108924
10,4,soccer,0.027692686883108924
10,5,gang,0.023992358242277585
10,6,football,0.019643884227840722
10,7,anton,0.019643884227840722
10,8,presidential,0.019643884227840722
10,9,presidential candidate,0.019643884227840722
10,10,world,0.01884019737943403
11,1,secrets,0.044286123406467065
11,2,mother,0.04063775005008933
11,3,family,0.03178828955123292
11,4,lucia,0.026830962538797187
11,5,deadly,0.025098498688847577
11,6,wife,0.023634180943666584
11,7,dark,0.023221571457193904
11,8,murdered,0.022184441200951623
11,9,community,0.020322245535681245
11,10,accident,0.020322245535681245
12,1,british,0.04482448821923164
12,2,war,0.039051841681733174
12,3,russian,0.035420182232900076
12,4,king,0.03288134157038322
12,5,agent,0.029691050274843162
12,6,escape,0.02928888126129988
12,7,wwii,0.026512215953780033
12,8,scott,0.025308508762544795
12,9,german,0.025308508762544795
12,10,historical,0.025308508762544795
13,1,convicted,0.04099204984629497
13,2,madeline,0.03220626572993143
13,3,case,0.029487489952735244
13,4,murder,0.025667346201825935
13,5,prison,0.02517268667378921
13,6,justice,0.02312564681485469
13,7,maya,0.022845603898252794
13,8,miniseries based,0.022845603898252794
13,9,melissa,0.022845603898252794
13,10,keith,0.022845603898252794
14,1,friends,0.05772807091361544
14,2,navigate,0.05056221769527014
14,3,friendship,0.038237814186619846
14,4,stan,0.03502560545377331
14,5,school,0.029438348650429824
14,6,jennings,0.026027196704199024
14,7,blog,0.026027196704199024
14,8,mines,0.026027196704199024
14,9,complicated reality,0.026027196704199024
14,10,reality friendship,0.026027196704199024
