imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt0772137,The Game,-1,-1,-0.0033,-0.0682,25.24941830381521
tt0435576,Point Pleasant,-1,-1,0.0041,-0.0263,23.54428991345113
tt0959086,Flash Gordon,1,4,0.068,0.0135,20.42275476148293
tt0880557,Bionic Woman,-1,-1,0.0146,-0.0241,21.863317737750187
tt1032838,El Pantera,8,7,0.0373,0.0282,13.815110103857666
tt0772139,Masters of Science Fiction,-1,-1,0.0536,-0.0126,21.511288398211565
tt0481452,Nightmares & Dreamscapes: From the Stories of Stephen King,-1,-1,0.0839,-0.0448,25.106072561027915
tt0841921,Zorro: La espada y la rosa,2,5,0.0718,0.0007,25.257602707441222
tt1244387,Without Breasts There Is No Paradise,-1,-1,0.0676,-0.0151,23.87880212972141
tt1287391,Doña Bárbara,-1,-1,0.0495,-0.0313,24.68921267012472
tt1059455,The Legend of Bruce Lee,7,6,0.0064,-0.0152,22.982675847969265
tt1118526,Galileo,0,1,0.0669,-0.0971,21.309853208787068
tt1275297,En nombre del amor,8,7,0.0058,0.0065,24.185796549196887
tt0403795,Revelations,-1,-1,0.007,0.0252,19.298439236888697
tt0403759,Empire,-1,-1,0.0983,-0.0496,19.04777188322957
tt0960152,Acorralada,8,7,0.053,0.0278,19.42886745236068
tt0758789,Tsunami: The Aftermath,-1,-1,0.0099,0.0267,22.01233138402923
tt1220859,Storm Over Paradise,8,7,0.0658,0.0378,10.72326609453037
tt1596029,El Clon,3,0,0.0185,-0.0541,12.964927954726182
tt0391677,Piel de otoño,8,7,0.0376,0.0684,22.22795220764367
tt1247637,Above Suspicion,-1,-1,0.0381,0.0109,22.000146820427112
tt1445556,Burden of Guilt,8,7,0.0492,0.007,11.463275602278882
tt0424600,The Andromeda Strain,1,4,0.0437,0.0373,17.734955873517457
tt0415407,Colditz,12,2,0.0891,-0.0308,25.437597352297864
tt1192302,La rosa de Guadalupe,2,5,0.0275,-0.0092,11.378287921852287
tt1527368,El Capo,-1,-1,0.0783,-0.0311,25.18916933395757
tt1043714,The Prisoner,13,1,0.061,-0.0579,20.89759927271376
tt1068899,Capadocia,-1,-1,0.0777,0.0098,24.901625572726505
tt1227637,Impact,1,4,-0.0129,0.0291,19.45660145684805
tt0873992,Dragon Sakura,9,3,0.0904,-0.0874,15.63281447544622
tt1441404,Al Fondo Hay Sitio,8,7,0.0287,-0.0278,21.467368415445403
tt1657081,Law & Order: LA,0,1,0.0672,-0.0288,20.430598620087764
tt1593823,The Cape,-1,-1,0.0721,-0.0233,25.06360914602604
tt1333050,Persons Unknown,-1,-1,0.0592,-0.0848,23.34476569699618
tt2227061,Corazon Valiente,2,5,0.0449,-0.0479,17.75255144405951
tt1807106,Aurora,-1,-1,-0.0119,0.0007,10.751958785130206
tt1755893,Skins,14,0,0.0679,-0.0454,13.748256173833964
tt1697793,Outcasts,1,4,0.0673,0.0019,20.84447919987609
tt1772752,A.N.T. Farm,14,0,0.0539,-0.0306,18.926507621833043
tt1713938,XIII: The Series,12,2,0.0492,-0.083,16.817219860058717
tt0459721,La tormenta,8,7,0.0505,0.0743,22.835217466528157
tt1822448,Bedlam,4,1,0.048,-0.0168,22.45798652238832
tt1846055,Eva Luna,8,7,0.0727,0.0401,22.70775664497472
tt1697033,True Justice,7,6,0.1002,-0.0589,16.25745441689432
tt1504261,The Sinking of the Laconia,12,2,0.058,-0.0275,25.66132242780368
tt1869152,Titanic,3,0,0.0176,0.0211,21.740408290241035
tt2373743,Lie to Me,5,0,0.0458,-0.1222,20.258573045299165
tt1841108,Femme Fatales,-1,-1,0.0539,-0.0561,24.94790008992599
tt1212452,Bag of Bones,-1,-1,-0.0115,-0.0396,21.509379682344264
tt1334573,Moby Dick,-1,-1,-0.0179,-0.0382,21.15660218049443
tt2295953,Primeval: New World,-1,-1,0.0435,-0.0529,22.27747778957797
tt0802821,Pandemic,-1,-1,0.0562,0.013,21.45075157927006
tt1788634,The Boat,1,4,0.0808,0.002,22.94603799409296
tt2170701,Abyss of Passion,2,5,0.0191,0.029,23.23106185496828
tt2215717,The Mob Doctor,4,1,0.0544,-0.0367,23.17947205950768
tt1866570,Labyrinth,1,4,0.0428,-0.0172,23.071375704130123
tt2222135,Dog with a Blog,14,0,0.0659,-0.046,25.654581610608723
tt2215797,Zero Hour,1,4,0.0512,0.0174,25.648135031670783
tt2215399,Red Widow,11,1,0.0625,-0.034,21.679140217798658
tt2877678,Husband for Rent aka Husband for Hire,8,7,0.0165,-0.024,23.517499932189796
tt0420408,Hercules,-1,-1,0.0639,-0.0186,19.009587569052265
tt2368645,Hit the Floor,9,3,0.1135,-0.0374,24.238011769254868
tt2476828,Brave Woman,2,5,0.0345,-0.0121,25.460670890923616
tt2729716,Tyler Perry's The Haves and the Have Nots,2,5,0.0258,-0.0441,18.72211961956052
tt4592090,Love Me Or Leave Me,3,0,0.0009,-0.0844,18.6257353609306
tt1782352,Upstairs Downstairs,3,0,-0.0097,-0.0273,25.040152937450145
tt2365086,Corona de lágrimas,8,7,0.0341,0.0398,9.809500647445148
tt2401754,Porque el Amor Manda,8,7,-0.0619,-0.003,24.30506224083763
tt2320524,Amores verdaderos,8,7,0.0004,-0.0215,25.39465850333308
tt2799012,Ravenswood,-1,-1,0.0199,0.0058,24.79814949610508
tt2871832,Cedar Cove,-1,-1,0.0356,-0.0118,22.626621741221776
tt2515462,Rake,5,0,0.0492,-0.0452,22.82773961901804
tt2716158,Merhamet,-1,-1,0.0146,-0.0087,25.477936228734617
tt2345481,Being Mary Jane,-1,-1,-0.0038,-0.0203,23.90425451983295
tt2647258,Hostages,-1,-1,0.0558,-0.0567,25.29799984388201
tt2930136,Hanzawa Naoki,-1,-1,0.0298,-0.0633,18.165776605400584
tt2761630,Klondike,-1,-1,0.0488,-0.0315,23.65279344693916
tt2772760,Las Vega's,-1,-1,0.0523,-0.0376,20.7381204848086
tt3072546,Broken Angel,2,5,0.049,0.0136,15.337774452727508
tt2446726,Southcliffe,-1,-1,0.0717,-0.0372,24.09129531778748
tt3275706,Griselda Blanco: The Black Widow,8,7,0.0486,-0.0021,19.09163950142688
tt3596316,The Stray Cat,8,7,-0.008,0.0057,14.8234380737175
