imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt0439100,Weeds,0,3,0.011,-0.0152,43.80851762945574
tt0805663,Jericho,2,1,0.0825,-0.0207,42.503097188991696
tt0840196,Skins,0,3,0.0241,-0.02,49.29733024762911
tt0804503,Mad Men,-1,-1,0.035,-0.036,54.11739270251413
tt0904208,Californication,0,3,0.0342,-0.0113,50.8473567484582
tt0976014,Greek,0,3,0.0604,-0.0249,47.62413496149726
tt0397442,Gossip Girl,4,1,0.0509,-0.0639,48.08031409409819
tt0903747,Breaking Bad,8,1,0.0407,-0.0159,66.69160663707882
tt0944947,Game of Thrones,-1,-1,0.0634,-0.046,55.14826817331841
tt1699748,Hell on Wheels,-1,-1,0.0663,-0.0425,48.5741436508717
tt1520211,The Walking Dead,1,2,0.0608,-0.0369,45.23491147249551
tt2364582,Marvel's Agents of S.H.I.E.L.D.,-1,-1,0.1045,-0.0596,50.87886363180345
tt0934814,Chuck,2,1,0.0696,-0.1064,55.66999941621516
tt0773262,Dexter,3,1,0.0598,-0.0538,59.54078894887878
tt1796960,Homeland,5,0,0.0472,-0.0341,47.69767812355409
tt1124373,Sons of Anarchy,-1,-1,0.0664,-0.0646,56.11325767663408
tt1839578,Person of Interest,2,1,0.0974,-0.0773,57.168165476251744
tt2193021,Arrow,2,1,0.0483,-0.0573,43.37010679275933
tt1844624,American Horror Story,-1,-1,0.069,0.0027,41.13612607124952
tt2191671,Elementary,3,1,0.0775,-0.0563,46.21270914807841
tt1327801,Glee,0,3,0.0635,-0.0359,42.988042353802605
tt1219024,Castle,-1,-1,0.0535,-0.0499,52.100088377603306
tt2249007,Ray Donovan,-1,-1,0.0531,-0.0249,45.91867766049948
tt2372162,Orange Is the New Black,0,3,0.0731,-0.0401,44.54775159801663
tt1856010,House of Cards,5,0,-0.0014,-0.0456,44.301409342545625
tt2249364,Broadchurch,4,1,0.0067,-0.0544,50.98945813236936
tt1442462,The Good Wife,-1,-1,0.0454,0.012,46.12571937061835
tt1489428,Justified,-1,-1,0.0814,-0.0482,56.212875615920346
tt0491738,Psych,4,1,0.0989,-0.0682,56.07997454347764
tt0458253,The Closer,3,1,0.1027,-0.0955,42.301834010679926
tt0979432,Boardwalk Empire,7,1,0.027,-0.0301,58.93016480474531
tt0460681,Supernatural,11,2,0.0145,-0.0338,56.096172166114464
tt0813715,Heroes,1,2,0.0634,-0.044,42.98648149525303
tt0485842,Studio 60 on the Sunset Strip,9,3,0.0527,-0.0785,42.90104868013862
tt1119644,Fringe,-1,-1,0.0684,-0.0467,55.35932480249425
tt0384766,Rome,-1,-1,0.0361,-0.051,59.35155776299468
tt0460627,Bones,-1,-1,0.0759,-0.0589,46.90765154254971
tt0491603,H2O: Just Add Water,1,2,0.0054,-0.0497,43.2534967877058
tt0455275,Prison Break,2,1,0.0656,-0.079,56.28946096166156
tt0874608,Lewis,3,1,0.0545,-0.0764,42.84041064992029
tt0442632,Bleak House,-1,-1,0.0386,-0.0047,42.85135536818023
tt0810788,Burn Notice,2,1,0.0816,-0.0899,50.9315016545701
tt0758790,The Tudors,10,0,0.0317,-0.0174,42.475728736676096
tt0478942,Life on Mars,1,2,0.0158,-0.0548,49.70128045317191
tt1772685,Coffee Prince,0,3,0.0403,-0.0919,40.31885644672482
tt0908454,Gavin & Stacey,0,3,0.0454,-0.0155,47.29244770719821
tt0874936,Life,3,1,0.0781,-0.0703,47.68267395886297
tt0452046,Criminal Minds,3,1,0.0722,-0.1034,44.8520479683607
tt0758745,Friday Night Lights,-1,-1,0.038,-0.0466,53.82476154111604
tt0421030,Big Love,0,3,0.0008,-0.0483,43.23701620353192
tt0796264,Eureka,1,2,0.032,-0.0143,47.339542669975415
tt0805669,Ugly Betty,0,3,0.0467,-0.0575,43.91070847271756
tt0978061,Jumong,10,0,0.0185,-0.1046,41.246355452789366
tt1024810,The Boarding School,7,1,0.0693,-0.0214,40.73104547871534
tt0914387,Damages,-1,-1,0.0427,0.0011,41.32862418003622
tt0955322,Reaper,1,2,0.0559,-0.0177,44.65703123989209
tt0925266,Pushing Daisies,11,2,0.0213,-0.0405,51.312670651526304
tt0955346,Moonlight,-1,-1,0.0595,-0.0281,42.536496195363625
tt1227926,Dr. Horrible's Sing-Along Blog,1,2,0.1089,-0.0294,52.57240687320138
tt1059475,Flashpoint,-1,-1,0.1109,-0.0498,41.51819791646397
tt1196946,The Mentalist,3,1,0.042,-0.0415,54.89372071727976
tt1349938,Being Human,11,2,0.0387,-0.0232,43.17089661046632
tt1199099,Merlin,1,2,0.0374,-0.0224,47.37757908038513
tt1103987,Leverage,2,1,0.1037,-0.1049,48.31731454272472
tt1285482,Dead Set,-1,-1,0.0198,-0.0589,40.36094049056671
